page,table,cells
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE ….703 | 29430 | 7.803,00 € | MKE ….703 | 29424 | 7.037,00 €"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE ….704 | 7.377,00 € | MKE ….704 | 7.121,00 €"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE ….803 | 29434 | 10.415,00 € | MKE ….803 | - | -"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE ….804 | 10.608,00 € | MKE ….804 | -"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE ….903 | 29436 | 13.426,00 € | MKE ….903 | 29430 | 11.333,00 €"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE ….904 | 13.734,00 € | MKE ….904 | 11.648,00 €"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE…1003 | 29440 | 16.421,00 € | MKE…1003 | - | -"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE…1004 | 16.754,00 € | MKE…1004 | -"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE…1103 | 29444 | 19.819,00 € | MKE…1103 | 29344 | 18.065,00 €"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE…1104 | 20.283,00 € | MKE…1104 | 18.471,00 €"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE…1203 | 29448 | 23.032,00 € | MKE…1203 | -"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE…1204 | 23.818,00 € | MKE…1204 | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),GEARBOX TYPE | IEC B5 80/90 | IEC B5 100/112 | IEC B5 132 | IEC B5 160/180 | IEC B5 200 | IEC B5 225 | IEC B5 250 | IEC B5 280 | IEC B5 315
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….402 | - | - | - | 962,00 € | 1.082,00 € | 1.153,00 € | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….403 | - | 913,00 € | 937,00 € | 951,00 € | 10,00 € | - | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….502 | - | - | - | - | - | 1.248,00 € | 1.426,00 € | 1.819,00 € | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….503 | - | - | 973,00 € | 999,00 € | 1.114,00 € | 1.216,00 € | 1.394,00 € | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….602 | - | - | - | - | - | 1.248,00 € | 1.426,00 € | 1.819,00 € | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….603 | - | - | 973,00 € | 999,00 € | 1.114,00 € | 1.216,00 € | 1.394,00 € | - | -"
