currency,page,table,cells
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….503 | 188.335,00 | 196.189,00 | 197.248,00 | 221.076,00 | 27.585,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….504 | 194.047,00 | 201.742,00 | 203.055,00 | 228.247,00 | 27.585,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….603 | 223.493,00 | 224.599,00 | 234.671,00 | 260.224,00 | 28.560,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….604 | 230.856,00 | 232.450,00 | 242.491,00 | 266.843,00 | 28.560,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….703 | 276.824,00 | 278.320,00 | 287.893,00 | 318.373,00 | 44.251,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….704 | 288.188,00 | 289.315,00 | 299.432,00 | 330.843,00 | 44.251,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….803 | 346.093,00 | 347.164,00 | 362.255,00 | 398.401,00 | 47.794,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….804 | 356.521,00 | 359.421,00 | 372.785,00 | 410.900,00 | 47.794,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….903 | 430.732,00 | 445.837,00 | 448.758,00 | 508.385,00 | 52.558,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….904 | 451.694,00 | 466.884,00 | 470.118,00 | 531.328,00 | 52.558,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….1003 | 530.609,00 | 531.156,00 | 558.688,00 | 612.094,00 | 58.607,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….1004 | 555.141,00 | 556.229,00 | 584.434,00 | 639.328,00 | 58.607,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….1103 | 627.769,00 | 681.457,00 | 662.490,00 | 793.040,00 | 87.308,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….1104 | 654.082,00 | 705.743,00 | 706.465,00 | 821.352,00 | 87.308,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….1203 | 772.065,00 | 816.953,00 | 810.598,00 | 954.808,00 | 98.654,00"
TL,4,MK... SERİSİ (KONİK GİRİŞLİ) MONOBLOK REDÜKTÖ,"MK ….1204 | 814.556,00 | 859.293,00 | 853.401,00 | 1.000.557,00 | 98.654,00"
TL,5,TANDEM (YARDIMCI TAHRİKLİ) REDÜKTÖRLER FİYAT ,REDÜKTÖR TİPİ | MİL ÇIKIŞLI (MA…SL/SR) | KOVAN ÇIKIŞLI (MA…G..) | SIKMA BİLEZİKLİ (MA…SDL/SDR)
TL,5,TANDEM (YARDIMCI TAHRİKLİ) REDÜKTÖRLER FİYAT ,"MK 403 - İRK 63 / 90 L4a | 283.666,00 | 287.702,00 | 310.391,00"
TL,5,TANDEM (YARDIMCI TAHRİKLİ) REDÜKTÖRLER FİYAT ,"MK 503 - İRK 73 / 100 L4b | 351.866,00 | 360.162,00 | 386.917,00"
TL,5,TANDEM (YARDIMCI TAHRİKLİ) REDÜKTÖRLER FİYAT ,"MK 603 - İRK 73 / 112 M4a | 391.580,00 | 394.347,00 | 431.045,00"
TL,5,TANDEM (YARDIMCI TAHRİKLİ) REDÜKTÖRLER FİYAT ,"MK 703 - İRK 83 / 132 S4a | 524.744,00 | 527.208,00 | 582.106,00"
TL,5,TANDEM (YARDIMCI TAHRİKLİ) REDÜKTÖRLER FİYAT ,"MK 803 - İRK 83 / 132 S4a | 591.693,00 | 594.166,00 | 656.988,00"
TL,5,TANDEM (YARDIMCI TAHRİKLİ) REDÜKTÖRLER FİYAT ,"MK903 - İRK 93 / 132 M4a | 732.171,00 | 747.936,00 | 811.921,00"
TL,5,TANDEM (YARDIMCI TAHRİKLİ) REDÜKTÖRLER FİYAT ,"MK 1003 - İRK 93 / 132 M4a | 829.705,00 | 831.928,00 | 914.606,00"
TL,5,TANDEM (YARDIMCI TAHRİKLİ) REDÜKTÖRLER FİYAT ,"MK 1103 - İRK 103 / 160 M4b | 1.064.286,00 | 1.117.275,00 | 1.228.586,00"
TL,5,TANDEM (YARDIMCI TAHRİKLİ) REDÜKTÖRLER FİYAT ,"MK 1203 - İRK 103 / 160 L4a | 1.202.964,00 | 1.248.620,00 | 1.388.496,00"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,STANDART EXTRUDER REDÜKTÖRLER | OPSİYONEL EXTRUDER REDÜKTÖRLER
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,REDÜKTÖR TİPİ | EXTRUDER RULMANI | EXTRUDER (TL) | REDÜKTÖR TİPİ | EXTRUDER RULMANI | EXTRUDER (TL)
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….402 | 29420 | 166.652,00 | MAE ….402 | - | -"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….403 | 181.643,00 | MAE ….403 | -"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….502 | 29424 | 215.885,00 | MAE ….502 | 29420 | 205.232,00"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….503 | 230.671,00 | MAE ….503 | 220.372,00"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….602 | 29428 | 251.759,00 | MAE ….602 | - | -"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….603 | 268.439,00 | MAE ….603 | -"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….702 | 29430 | 303.933,00 | MAE ….702 | 29424 | 298.711,00"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….703 | 323.357,00 | MAE ….703 | 319.013,00"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….704 | 306.988,00 | MAE ….704 | 324.273,00"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….802 | 29434 | 413.095,00 | MAE ….802 | - | -"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….803 | 434.303,00 | MAE ….803 | -"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….804 | 443.688,00 | MAE ….804 | -"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….902 | 29436 | 540.759,00 | MAE ….902 | 29430 | 481.774,00"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….903 | 574.957,00 | MAE ….903 | 516.463,00"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE ….904 | 590.196,00 | MAE ….904 | 530.371,00"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE…1002 | 29440 | 674.012,00 | MAE…1002 | - | -"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE…1003 | 712.673,00 | MAE…1003 | -"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE…1004 | 729.543,00 | MAE…1004 | -"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE…1102 | 29444 | 806.893,00 | MAE…1102 | 29344 | 779.015,00"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE…1103 | 861.616,00 | MAE…1103 | 830.328,00"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE…1104 | 889.186,00 | MAE…1104 | 855.012,00"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE…1202 | 29448 | 994.110,00 | MAE…1202 | - | -"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE…1203 | 1.061.390,00 | MAE…1203 | -"
TL,6,MAE... SERİSİ / MONOBLOK EXTRUDER TİP REDÜKTÖ,"MAE…1204 | 1.087.874,00 | MAE…1204 | -"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,STANDART EXTRUDER REDÜKTÖRLER | OPSİYONEL EXTRUDER REDÜKTÖRLER
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,REDÜKTÖR TİPİ | EXTRUDER RULMANI | EXTRUDER (TL) | REDÜKTÖR TİPİ | EXTRUDER RULMANI | EXTRUDER (TL)
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE ….403 | 29420 | 209.299,00 | MKE…. 403 | - | -"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE ….503 | 29424 | 254.557,00 | MKE ….503 | 29420 | 223.563,00"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE ….603 | 29428 | 298.640,00 | MKE ….603 | - | -"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE ….703 | 29430 | 366.720,00 | MKE ….703 | 29424 | 330.694,00"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE ….704 | 346.712,00 | MKE ….704 | 334.675,00"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE ….803 | 29434 | 489.486,00 | MKE ….803 | - | -"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE ….804 | 498.533,00 | MKE ….804 | -"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE ….903 | 29436 | 630.998,00 | MKE ….903 | 29430 | 532.619,00"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE ….904 | 645.456,00 | MKE ….904 | 547.453,00"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE…1003 | 29440 | 771.765,00 | MKE…1003 | - | -"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE…1004 | 787.414,00 | MKE…1004 | -"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE…1103 | 29444 | 931.467,00 | MKE…1103 | 29344 | 849.037,00"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE…1104 | 953.272,00 | MKE…1104 | 868.110,00"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE…1203 | 29448 | 1.082.459,00 | MKE…1203 | -"
TL,6,MKE... SERİSİ / KONİK GİRİŞLİ MONOBLOK EXTRUD,"MKE…1204 | 1.119.411,00 | MKE…1204 | -"
TL,7,MAP... SERİSİ MONOBLOK REDÜKTÖRLER PAM FLANŞ ,REDÜKTÖR TİPİ | IEC B5 80/90 | IEC B5 100/112 | IEC B5 132 | IEC B5 160/180 | IEC B5 200 | IEC B5 225 | IEC B5 250 | IEC B5 280 | IEC B5 315
